property_address,property_ward,violation_fire_code,number_of_violations
90 Park Lawn Rd,3,2.2.3.2,5
90 Park Lawn Rd,3,6.3.1.2,5
4 Elsinore Path,3,1.1.2.3,9
4 Elsinore Path,3,1.1.2.3./2.7.3.3.(3),9
4 Elsinore Path,3,2.7.2.2,9
4 Elsinore Path,3,6.3.1.4,9
17 Michael Power Pl,3,2.16.2.1,6
17 Michael Power Pl,3,2.2.3.2,6
17 Michael Power Pl,3,2.8.2.1,6
80 Marine Parade Dr,3,1.1.2.1./6.3.2.2.,18
80 Marine Parade Dr,3,1.1.2.1./6.4.3.3.,18
80 Marine Parade Dr,3,1.1.2.1./6.5.5.3.,18
80 Marine Parade Dr,3,1.1.2.1./6.5.5.4.,18
80 Marine Parade Dr,3,1.1.2.1./6.5.5.5.,18
80 Marine Parade Dr,3,1.1.2.1./6.6.3.5.,18
80 Marine Parade Dr,3,2.2.2.1,18
80 Marine Parade Dr,3,2.2.3.2,18
80 Marine Parade Dr,3,2.6.1.13,18
80 Marine Parade Dr,3,7.3.1.3,18
18 Panorama Crt,1,2.2.3.2,5
18 Panorama Crt,1,2.2.3.3,5
2500 Keele St,5,1.1.1.2,11
2500 Keele St,5,2.5.1.2,11
121 Humber Blvd,5,1.1.2.1./6.6.3.5.,14
121 Humber Blvd,5,1.1.2.1./6.6.5.6.,14
121 Humber Blvd,5,6.3.1.2,14
15 Legion Rd,3,1.1.2.1./6.6.5.6.,4
15 Legion Rd,3,2.2.3.2,4
15 Legion Rd,3,2.4.1.1,4
15 Legion Rd,3,7.3.1.3,4
311 Richmond St E,13,1.1.2.1,12
311 Richmond St E,13,1.1.2.1./2.7.3.3.(3),12
311 Richmond St E,13,1.1.2.1./6.2.7.5.,12
311 Richmond St E,13,1.1.2.1./6.3.2.2.,12
311 Richmond St E,13,1.1.2.1./6.6.3.5.,12
311 Richmond St E,13,1.1.2.1./6.7.1.1.,12
311 Richmond St E,13,2.16.2.1,12
311 Richmond St E,13,2.4.1.1,12
311 Richmond St E,13,2.8.2.1,12
311 Richmond St E,13,CH 470 - S.6,12
320 Richmond St E,13,1.1.1.2,16
320 Richmond St E,13,1.1.2.1./2.7.3.3.(3),16
320 Richmond St E,13,1.1.2.1./6.3.2.2.,16
320 Richmond St E,13,1.1.2.1./6.6.3.5.,16
320 Richmond St E,13,1.1.2.1./6.7.1.1.,16
320 Richmond St E,13,2.2.3.3,16
320 Richmond St E,13,2.8.3.2,16
320 Richmond St E,13,6.5.6.5,16
320 Richmond St E,13,6.6.3.5,16
330 Jarvis St,13,1.1.2.1./2.7.3.3.(3),22
330 Jarvis St,13,1.1.2.1./6.2.7.5.,22
330 Jarvis St,13,1.1.2.1./6.3.2.2.,22
330 Jarvis St,13,1.1.2.1./6.3.3.8.,22
330 Jarvis St,13,1.1.2.1./6.4.3.2.,22
330 Jarvis St,13,1.1.2.1./6.4.3.3.,22
330 Jarvis St,13,1.1.2.1./6.5.5.3.,22
330 Jarvis St,13,1.1.2.1./6.6.3.5.,22
330 Jarvis St,13,2.2.2.1,22
330 Jarvis St,13,2.2.3.2,22
330 Jarvis St,13,6.5.1.1,22
330 Jarvis St,13,6.5.1.5 (1),22
330 Jarvis St,13,9.6.2.6,22
33 Charles St E,13,1.1.2.1,15
33 Charles St E,13,1.1.2.1./2.7.3.3.(3),15
33 Charles St E,13,1.1.2.1./6.2.7.5.,15
33 Charles St E,13,1.1.2.1./6.3.2.2.,15
33 Charles St E,13,1.1.2.1./6.6.3.5.,15
33 Charles St E,13,1.1.2.3./6.7.1.1.,15
33 Charles St E,13,2.8.2.1,15
33 Charles St E,13,2.8.3.4,15
330 Adelaide St E,13,1.1.1.2,22
330 Adelaide St E,13,1.1.2.1./2.7.3.3.(3),22
330 Adelaide St E,13,1.1.2.1./6.2.7.5.,22
330 Adelaide St E,13,1.1.2.1./6.3.2.2.,22
330 Adelaide St E,13,1.1.2.1./6.5.5.2.,22
330 Adelaide St E,13,1.1.2.1./6.7.1.1.,22
330 Adelaide St E,13,2.4.1.1,22
330 Adelaide St E,13,2.8.3.2,22
330 Adelaide St E,13,6.3.1.4,22
330 Adelaide St E,13,6.4.1.3. (1),22
330 Adelaide St E,13,7.3.1.3,22
35 Church St,13,1.1.1.2,21
35 Church St,13,1.1.2.1./6.2.7.5.,21
35 Church St,13,1.1.2.1./6.3.2.2.,21
35 Church St,13,1.1.2.1./6.5.5.2.,21
35 Church St,13,1.1.2.1./6.6.3.5.,21
35 Church St,13,1.1.2.1./6.7.1.1.,21
35 Church St,13,2.2.2.1,21
35 Church St,13,2.2.3.2,21
35 Church St,13,2.2.3.3,21
35 Church St,13,2.4.1.1,21
35 Church St,13,2.7.3.2,21
35 Church St,13,2.8.2.5 (1),21
35 Church St,13,6.5.1.1,21
35 Church St,13,6.5.1.5 (1),21
35 Church St,13,6.5.4.5,21
35 Church St,13,6.5.6.5,21
37 Grosvenor St,13,2.5.1.2,4
37 Grosvenor St,13,2.8.2.1,4
37 Grosvenor St,13,2.8.2.1,4
37 Grosvenor St,13,6.3.2.2,4
39 Jarvis St,13,1.1.2.1./2.7.3.3.(3),9
39 Jarvis St,13,1.1.2.1./6.2.7.5.,9
39 Jarvis St,13,1.1.2.1./6.3.2.2.,9
39 Jarvis St,13,1.1.2.1./6.3.3.8.,9
39 Jarvis St,13,1.1.2.1./6.5.5.3.,9
39 Jarvis St,13,1.1.2.1./6.6.3.5.,9
39 Jarvis St,13,1.1.2.1./6.7.1.1.,9
39 Jarvis St,13,2.2.3.3,9
39 Jarvis St,13,6.4.1.2,9
40 Alexander St,13,1.1.2.1,18
40 Alexander St,13,1.1.2.1./2.7.3.3.(3),18
40 Alexander St,13,1.1.2.1./6.2.7.5.,18
40 Alexander St,13,1.1.2.1./6.3.2.2.,18
40 Alexander St,13,1.1.2.1./6.4.3.3.,18
40 Alexander St,13,1.1.2.1./6.6.3.5.,18
40 Alexander St,13,1.1.2.1./6.7.1.1.,18
40 Alexander St,13,2.5.1.2. (2),18
40 Alexander St,13,2.8.3.4,18
40 Alexander St,13,6.4.1.3. (1),18
400 Adelaide St E,13,1.1.2.1./6.7.1.1.,9
400 Adelaide St E,13,2.8.3.2,9
400 Adelaide St E,13,6.4.1.3. (1),9
400 Adelaide St E,13,6.5.6.5,9
389 Church St,13,1.1.2.2,5
389 Church St,13,2.8.2.1,5
215 Wynford Dr,16,1.1.2.1,24
215 Wynford Dr,16,1.1.2.1./2.7.3.3.(3),24
215 Wynford Dr,16,1.1.2.1./6.4.3.7.(1),24
215 Wynford Dr,16,2.2.2.1,24
215 Wynford Dr,16,2.2.3.1,24
215 Wynford Dr,16,2.2.3.2,24
215 Wynford Dr,16,2.4.1.1,24
215 Wynford Dr,16,6.5.1.5,24
215 Wynford Dr,16,6.5.3.4,24
215 Wynford Dr,16,9.6.2.11,24
409 Bloor St E,13,1.1.2.1./6.2.7.5.,16
409 Bloor St E,13,1.1.2.1./6.3.2.4.,16
409 Bloor St E,13,2.2.2.1,16
409 Bloor St E,13,2.2.3.2,16
409 Bloor St E,13,2.2.3.3,16
409 Bloor St E,13,2.4.1.1,16
409 Bloor St E,13,2.7.1.7,16
409 Bloor St E,13,CH 470 - S.7,16
2450 Weston Rd,5,1.1.2.1./6.3.2.4.,7
30 Thunder Grv,23,1.1.2.3./6.4.3.7.(1),4
30 Thunder Grv,23,2.2.3.2,4
25 Thunder Grv,23,1.1.1.2,5
25 Thunder Grv,23,1.1.2.3./7.3.1.2.,5
25 Thunder Grv,23,2.2.3.2,5
25 Thunder Grv,23,2.8.3.4,5
100 Wingarden Crt,23,1.1.1.2,9
100 Wingarden Crt,23,2.2.3.2,9
100 Wingarden Crt,23,4.3.13.5,9
80 Alton Towers Crcl,23,1.1.1.2,25
80 Alton Towers Crcl,23,1.1.2.1./6.5.5.2.,25
80 Alton Towers Crcl,23,1.1.2.1./6.6.5.6.,25
80 Alton Towers Crcl,23,1.1.2.1./6.7.1.1.,25
80 Alton Towers Crcl,23,2.2.2.1,25
80 Alton Towers Crcl,23,2.2.3.2,25
80 Alton Towers Crcl,23,2.4.1.1,25
80 Alton Towers Crcl,23,2.4.1.1,25
80 Alton Towers Crcl,23,2.7.3.1,25
80 Alton Towers Crcl,23,2.8.2.5 (1),25
80 Alton Towers Crcl,23,6.3.2.5,25
80 Alton Towers Crcl,23,9.6.3.6,25
300 Alton Towers Crcl,23,1.1.2.1,23
300 Alton Towers Crcl,23,1.1.2.1./6.5.5.4.,23
300 Alton Towers Crcl,23,1.1.2.1./6.7.1.1.,23
300 Alton Towers Crcl,23,1.1.2.1./7.3.1.2.,23
300 Alton Towers Crcl,23,2.2.2.1,23
300 Alton Towers Crcl,23,2.2.3.2,23
300 Alton Towers Crcl,23,2.2.3.5,23
300 Alton Towers Crcl,23,2.8.2.1,23
300 Alton Towers Crcl,23,2.8.2.5 (1),23
300 Alton Towers Crcl,23,2.8.3.2,23
300 Alton Towers Crcl,23,6.2.4.1,23
300 Alton Towers Crcl,23,6.4.3.2,23
160 Alton Towers Crcl,23,1.1.1.2,25
160 Alton Towers Crcl,23,1.1.2.1./6.7.1.1.,25
160 Alton Towers Crcl,23,1.1.2.1./7.2.2.1.,25
160 Alton Towers Crcl,23,2.2.2.1,25
160 Alton Towers Crcl,23,2.2.3.2,25
160 Alton Towers Crcl,23,2.4.1.1,25
160 Alton Towers Crcl,23,2.8.2.1,25
160 Alton Towers Crcl,23,2.8.2.5 (1),25
160 Alton Towers Crcl,23,6.5.1.5 (1),25
665 Kennedy Rd,20,1.1.2.1,19
665 Kennedy Rd,20,1.1.2.1./2.7.3.3.(3),19
665 Kennedy Rd,20,1.1.2.1./6.2.7.5.,19
665 Kennedy Rd,20,1.1.2.1./6.3.2.2.,19
665 Kennedy Rd,20,1.1.2.1./6.4.3.7.(1),19
665 Kennedy Rd,20,1.1.2.1./6.5.5.2.,19
665 Kennedy Rd,20,1.1.2.1./6.6.3.5.,19
665 Kennedy Rd,20,1.1.2.1./6.6.5.6.,19
665 Kennedy Rd,20,1.1.2.3,19
665 Kennedy Rd,20,2.4.1.1,19
665 Kennedy Rd,20,2.5.1.2,19
665 Kennedy Rd,20,2.8.2.1,19
665 Kennedy Rd,20,6.4.1.2,19
665 Kennedy Rd,20,6.4.2.1,19
665 Kennedy Rd,20,6.4.2.6,19
665 Kennedy Rd,20,6.4.3.7,19
665 Kennedy Rd,20,9.6.2.6,19
665 Kennedy Rd,20,9.6.5.6,19
425 Walmer Rd,12,1.1.2.2,7
425 Walmer Rd,12,2.2.2.1,7
425 Walmer Rd,12,6.4.3.7,7
425 Walmer Rd,12,9.6.2.6,7
150 Dan Leckie Way,10,6.3.1.4,2
500 Doris Ave,18,1.1.1.2,1
10 Northtown Way,18,2.8.2.1,19
10 Northtown Way,18,6.5.1.2,19
606 Avenue Rd,12,2.2.2.1,12
606 Avenue Rd,12,2.2.3.2,12
39 Old Mill Rd,3,1.1.2.3./6.3.2.2.,6
39 Old Mill Rd,3,2.2.3.1,6
39 Old Mill Rd,3,2.2.3.2,6
633 Bay St,11,1.1.2.1./7.3.1.2.,4
633 Bay St,11,2.2.3.2,4
633 Bay St,11,2.7.1.7,4
500 Avenue Rd,12,2.2.2.1,11
500 Avenue Rd,12,2.2.3.2,11
500 Avenue Rd,12,2.2.3.3,11
500 Avenue Rd,12,2.4.1.1,11
500 Avenue Rd,12,2.5.1.2,11
500 Avenue Rd,12,2.8.2.1,11
500 Avenue Rd,12,4.1.5.9,11
500 Avenue Rd,12,5.6.2.4,11
500 Avenue Rd,12,6.4.3.7,11
500 Avenue Rd,12,9.6.2.6,11
276 St George St,11,1.1.2.1./2.7.3.3.(3),18
276 St George St,11,1.1.2.1./6.2.7.5.,18
276 St George St,11,1.1.2.1./6.3.2.2.,18
276 St George St,11,1.1.2.1./6.3.2.6.,18
276 St George St,11,1.1.2.1./6.4.3.2.,18
276 St George St,11,1.1.2.1./6.5.5.3.,18
276 St George St,11,1.1.2.1./6.5.5.4.,18
276 St George St,11,1.1.2.1./6.6.3.5.,18
276 St George St,11,1.1.2.1./6.7.1.1.,18
276 St George St,11,2.2.3.2,18
276 St George St,11,2.4.1.1,18
276 St George St,11,6.3.1.2,18
206 St George St,11,1.1.2.1./6.3.2.2.,2
206 St George St,11,2.2.3.2,2
575 Avenue Rd,12,1.1.2.2,23
575 Avenue Rd,12,2.2.2.1,23
575 Avenue Rd,12,2.2.3.2,23
575 Avenue Rd,12,6.3.2.2,23
575 Avenue Rd,12,6.4.3.7,23
145 St George St,11,2.2.3.2,4
35 Hayden St,11,1.1.2.1./6.2.7.5.,6
35 Hayden St,11,1.1.2.1./6.3.2.2.,6
35 Hayden St,11,1.1.2.1./6.5.5.2.,6
35 Hayden St,11,2.8.2.1,6
50 Holly St,12,2.16.2.1,9
50 Holly St,12,2.2.2.1,9
50 Holly St,12,2.2.3.2,9
50 Holly St,12,2.4.1.3,9
1775 Eglinton Ave W,12,1.1.2.1,9
1775 Eglinton Ave W,12,1.1.2.1./7.2.2.1.,9
1775 Eglinton Ave W,12,2.16.2.1,9
1775 Eglinton Ave W,12,2.2.2.1,9
1775 Eglinton Ave W,12,2.2.3.2,9
1775 Eglinton Ave W,12,2.4.1.1,9
1775 Eglinton Ave W,12,6.2.4.3,9
1775 Eglinton Ave W,12,6.4.3.5,9
1775 Eglinton Ave W,12,6.6.3.5,9
135 Lawton Blvd,12,1.1.2.1./6.6.3.5.,5
135 Lawton Blvd,12,2.2.2.1,5
135 Lawton Blvd,12,2.2.3.2,5
135 Lawton Blvd,12,6.5.1.8,5
17 Lascelles Blvd,12,1.1.2.1./6.7.1.1.,10
17 Lascelles Blvd,12,2.2.2.1,10
17 Lascelles Blvd,12,2.2.3.2,10
17 Lascelles Blvd,12,9.6.2.6,10
18 Merton St,12,2.16.2.1,13
18 Merton St,12,2.2.3.2,13
18 Merton St,12,6.2.4.3,13
18 Merton St,12,6.4.3.7,13
18 Merton St,12,6.5.1.5 (1),13
85 Lawton Blvd,12,1.1.2.1./2.7.3.3.(3),24
85 Lawton Blvd,12,1.1.2.1./6.2.7.5.,24
85 Lawton Blvd,12,1.1.2.1./6.3.2.2.,24
85 Lawton Blvd,12,1.1.2.1./6.3.3.8.,24
85 Lawton Blvd,12,1.1.2.1./6.4.3.2.,24
85 Lawton Blvd,12,1.1.2.1./6.6.3.5.,24
85 Lawton Blvd,12,2.2.2.1,24
85 Lawton Blvd,12,2.2.3.2,24
85 Lawton Blvd,12,6.5.1.8,24
85 Lawton Blvd,12,9.6.2.6,24
68 Merton St,12,1.1.2.1./2.7.3.3.(3),28
68 Merton St,12,1.1.2.1./6.2.7.5.,28
68 Merton St,12,1.1.2.1./6.3.2.2.,28
68 Merton St,12,1.1.2.1./6.3.2.4.,28
68 Merton St,12,1.1.2.1./6.3.2.6.,28
68 Merton St,12,1.1.2.1./6.4.3.3.,28
68 Merton St,12,1.1.2.1./6.6.3.5.,28
68 Merton St,12,1.1.2.1./6.7.1.1.,28
68 Merton St,12,2.2.3.2,28
68 Merton St,12,2.4.1.1,28
68 Merton St,12,6.2.1.2,28
68 Merton St,12,6.2.4.1,28
68 Merton St,12,6.2.4.3,28
68 Merton St,12,6.5.1.5 (1),28
68 Merton St,12,6.5.1.8,28
619 Avenue Rd,12,2.16.2.1,14
619 Avenue Rd,12,2.2.2.1,14
619 Avenue Rd,12,2.2.3.1,14
619 Avenue Rd,12,2.2.3.2,14
619 Avenue Rd,12,2.2.3.3,14
619 Avenue Rd,12,2.2.3.4,14
619 Avenue Rd,12,2.4.1.1,14
619 Avenue Rd,12,6.4.3.7,14
212 Eglinton Ave E,12,2.2.3.2,11
212 Eglinton Ave E,12,2.4.1.3,11
212 Eglinton Ave E,12,6.4.3.7,11
260 Heath St W,12,1.1.2.1./2.7.3.3.(3),21
260 Heath St W,12,1.1.2.1./6.2.7.5.,21
260 Heath St W,12,1.1.2.1./6.3.2.2.,21
260 Heath St W,12,1.1.2.1./6.3.2.4.,21
260 Heath St W,12,1.1.2.1./6.3.2.6.,21
260 Heath St W,12,1.1.2.1./6.4.3.2.,21
260 Heath St W,12,1.1.2.1./6.6.3.5.,21
260 Heath St W,12,1.1.2.1./6.7.1.1.,21
260 Heath St W,12,2.2.2.1,21
260 Heath St W,12,2.2.3.2,21
260 Heath St W,12,2.4.1.3,21
260 Heath St W,12,6.3.1.4,21
260 Heath St W,12,6.4.3.7,21
260 Heath St W,12,6.5.1.1,21
260 Heath St W,12,6.5.1.5 (1),21
260 Heath St W,12,6.5.1.8,21
123 Eglinton Ave E,12,2.2.3.2,6
123 Eglinton Ave E,12,2.4.1.3,6
123 Eglinton Ave E,12,6.5.1.5 (1),6
123 Eglinton Ave E,12,7.2.5.1,6
4029 Old Dundas St,4,1.1.1.2,23
70 Delisle Ave,12,2.2.3.2,6
70 Delisle Ave,12,6.5.1.1,6
253 Merton St,12,1.1.2.1./6.7.1.1.,4
253 Merton St,12,2.2.2.1,4
253 Merton St,12,2.2.3.2,4
253 Merton St,12,6.4.3.7,4
260 Merton St,12,1.1.2.1./6.7.1.1.,28
260 Merton St,12,2.16.2.1,28
260 Merton St,12,2.2.2.1,28
260 Merton St,12,2.2.3.1,28
260 Merton St,12,2.2.3.2,28
260 Merton St,12,6.4.3.7,28
260 Merton St,12,6.5.1.5 (1),28
95 Lawton Blvd,12,1.1.2.1./6.4.3.2.,15
95 Lawton Blvd,12,1.1.2.1./6.6.3.5.,15
95 Lawton Blvd,12,2.1.2.2,15
95 Lawton Blvd,12,2.2.2.1,15
95 Lawton Blvd,12,2.2.3.2,15
95 Lawton Blvd,12,6.3.1.4,15
95 Lawton Blvd,12,6.5.1.8,15
60 Holly St,12,2.2.3.2,1
19 Lower Village Gt,12,1.1.2.1./6.7.1.1.,10
19 Lower Village Gt,12,2.16.2.1,10
19 Lower Village Gt,12,2.2.2.1,10
19 Lower Village Gt,12,2.2.3.1,10
19 Lower Village Gt,12,2.2.3.2,10
19 Lower Village Gt,12,6.3.1.8,10
19 Lower Village Gt,12,6.5.1.1,10
19 Lower Village Gt,12,7.2.5.1,10
155 Balliol St,12,2.2.2.1,20
155 Balliol St,12,2.2.3.1,20
155 Balliol St,12,2.2.3.2,20
155 Balliol St,12,2.4.1.1,20
155 Balliol St,12,2.8.2.1,20
155 Balliol St,12,6.3.4.3,20
155 Balliol St,12,6.5.1.5,20
89 Dunfield Ave,12,1.1.2.1./2.7.3.3.(3),27
89 Dunfield Ave,12,1.1.2.1./6.2.7.5.,27
89 Dunfield Ave,12,1.1.2.1./6.3.2.4.,27
89 Dunfield Ave,12,1.1.2.1./6.3.3.8.,27
89 Dunfield Ave,12,1.1.2.1./6.7.1.1.,27
89 Dunfield Ave,12,1.1.2.1./7.2.2.1.,27
89 Dunfield Ave,12,2.2.3.2,27
89 Dunfield Ave,12,2.2.3.3,27
89 Dunfield Ave,12,2.4.1.1,27
89 Dunfield Ave,12,2.8.2.5 (3),27
89 Dunfield Ave,12,2.8.2.5 (3),27
89 Dunfield Ave,12,6.3.1.8,27
89 Dunfield Ave,12,6.5.1.1,27
89 Dunfield Ave,12,6.5.1.1,27
89 Dunfield Ave,12,6.5.1.5 (1),27
89 Dunfield Ave,12,6.6.5.2,27
89 Dunfield Ave,12,6.6.5.2,27
89 Dunfield Ave,12,9.6.2.16,27
89 Dunfield Ave,12,9.6.2.6,27
89 Dunfield Ave,12,9.6.2.6,27
23 Glebe Rd W,12,1.1.2.1./2.7.3.3.(3),18
23 Glebe Rd W,12,1.1.2.1./6.2.7.5.,18
23 Glebe Rd W,12,1.1.2.1./6.3.2.2.,18
23 Glebe Rd W,12,1.1.2.1./6.3.2.4.,18
23 Glebe Rd W,12,1.1.2.1./6.3.3.8.,18
23 Glebe Rd W,12,1.1.2.1./6.4.3.2.,18
23 Glebe Rd W,12,1.1.2.1./6.6.3.5.,18
23 Glebe Rd W,12,1.1.2.1./6.7.1.1.,18
23 Glebe Rd W,12,2.2.3.2,18
23 Glebe Rd W,12,6.5.1.8,18
23 Glebe Rd W,12,6.5.1.8,18
240 Heath St W,12,2.2.2.1,4
240 Heath St W,12,2.2.3.2,4
240 Heath St W,12,2.4.1.1,4
240 Heath St W,12,2.7.3.2 (1),4
150 Heath St W,12,1.1.2.1./2.7.3.3.(3),28
150 Heath St W,12,1.1.2.1./6.2.7.5.,28
150 Heath St W,12,1.1.2.1./6.3.2.2.,28
150 Heath St W,12,1.1.2.1./6.3.2.6.,28
150 Heath St W,12,1.1.2.1./6.4.3.2.,28
150 Heath St W,12,1.1.2.1./6.6.3.5.,28
150 Heath St W,12,1.1.2.1./6.7.1.1.,28
150 Heath St W,12,2.2.2.1,28
150 Heath St W,12,2.2.3.2,28
150 Heath St W,12,2.4.1.3,28
150 Heath St W,12,6.4.3.7,28
150 Heath St W,12,6.5.1.1,28
150 Heath St W,12,6.5.1.8,28
150 Heath St W,12,6.5.6.5 (5),28
150 Heath St W,12,9.6.2.6,28
80 Cosburn Ave,14,1.1.2.3./6.5.5.3.,4
80 Cosburn Ave,14,2.2.3.1,4
227 Cosburn Ave,14,1.1.2.3,4
227 Cosburn Ave,14,1.1.2.3,4
655 Broadview Ave,14,2.2.3.1,14
655 Broadview Ave,14,2.2.3.2,14
655 Broadview Ave,14,2.2.3.3,14
655 Broadview Ave,14,2.7.2.2,14
221 Balliol St,12,2.2.2.1,14
221 Balliol St,12,2.2.3.2,14
221 Balliol St,12,2.2.3.3,14
221 Balliol St,12,2.4.1.1,14
221 Balliol St,12,9.6.3.6,14
145 Cosburn Ave,14,1.1.1.2,5
145 Cosburn Ave,14,2.2.3.1,5
50 Cambridge Ave,14,2.7.3.2 (1),5
50 Cambridge Ave,14,6.5.4.5,5
319 Carlaw Ave,14,2.2.3.1,5
140 Elm Ridge Dr,8,1.1.2.1./6.3.2.2.,20
140 Elm Ridge Dr,8,1.1.2.3./6.7.1.1.,20
140 Elm Ridge Dr,8,1.1.2.3./7.2.2.1.,20
140 Elm Ridge Dr,8,2.8.2.1,20
140 Elm Ridge Dr,8,6.3.1.4,20
140 Elm Ridge Dr,8,6.5.3.4,20
31 Princess St,13,6.2.1.2,12
31 Princess St,13,6.3.1.4,12
31 Princess St,13,6.4.1.2,12
31 Princess St,13,6.5.1.2,12
25 Stong Crt,7,2.2.3.2,1
10 Markbrook Lane,1,1.1.2.1./2.7.3.3.(3),8
10 Markbrook Lane,1,1.1.2.1./6.2.7.5.,8
10 Markbrook Lane,1,1.1.2.1./6.3.2.2.,8
10 Markbrook Lane,1,1.1.2.1./6.4.3.8.,8
10 Markbrook Lane,1,1.1.2.1./6.5.5.2.,8
51 Parkwoods Village Dr,16,1.1.2.1./6.3.2.2.,36
51 Parkwoods Village Dr,16,1.1.2.1./7.2.2.1.,36
51 Parkwoods Village Dr,16,2.2.2.1,36
51 Parkwoods Village Dr,16,2.2.3.2,36
51 Parkwoods Village Dr,16,6.5.1.5 (1),36
1780 Eglinton Ave E,16,2.2.2.1,25
1780 Eglinton Ave E,16,2.2.3.2,25
1780 Eglinton Ave E,16,2.8.2.5 (1),25
1780 Eglinton Ave E,16,6.2.7.1,25
1780 Eglinton Ave E,16,6.4.1.2,25
1780 Eglinton Ave E,16,6.5.3.4,25
2240 Lake Shore Blvd W,3,1.1.2.1./6.3.2.2.,7
2240 Lake Shore Blvd W,3,1.1.2.1./6.6.5.6.,7
2240 Lake Shore Blvd W,3,2.2.3.2,7
2240 Lake Shore Blvd W,3,2.8.2.1,7
2240 Lake Shore Blvd W,3,6.3.1.2,7
2240 Lake Shore Blvd W,3,7.3.1.3,7
2240 Lake Shore Blvd W,3,CH 470 - S.6,7
340 Dixon Rd,1,9.6.5.6,5
45 Grenoble Dr,16,2.4.1.1,8
45 Grenoble Dr,16,2.7.1.7,8
45 Grenoble Dr,16,6.2.1.3 (1),8
45 Grenoble Dr,16,6.5.1.2,8
24 Leith Hill Rd,17,1.1.1.2,18
24 Leith Hill Rd,17,2.2.2.1,18
24 Leith Hill Rd,17,2.6.1.7,18
88 Sheppard Ave E,18,2.2.2.1,5
88 Sheppard Ave E,18,2.8.2.1,5
88 Sheppard Ave E,18,6.3.1.4,5
88 Sheppard Ave E,18,6.5.1.2,5
88 Sheppard Ave E,18,6.5.2.4,5
15 Greenview Ave,18,2.8.2.1,26
35 Wynford Heights Cres,16,2.2.3.2,8
35 Wynford Heights Cres,16,6.2.4.3,8
35 Wynford Heights Cres,16,6.2.7.2,8
135 Wynford Dr,16,1.1.2.1./6.3.2.2.,14
135 Wynford Dr,16,1.1.2.1./6.6.5.6.,14
135 Wynford Dr,16,2.2.2.1,14
135 Wynford Dr,16,2.2.3.2,14
135 Wynford Dr,16,2.4.1.1,14
135 Wynford Dr,16,2.7.3.2 (1),14
135 Wynford Dr,16,6.3.1.8,14
3 Concorde Pl,16,2.2.2.1,6
3 Concorde Pl,16,2.2.3.2,6
3 Concorde Pl,16,2.7.2.2,6
133 Wynford Dr,16,2.2.3.2,12
133 Wynford Dr,16,2.4.1.1,12
133 Wynford Dr,16,6.2.7.2,12
1 Concorde Pl,16,2.2.2.1,14
1 Concorde Pl,16,2.2.3.2,14
1 Concorde Pl,16,2.2.3.3,14
1 Concorde Pl,16,2.7.2.2,14
1 Concorde Pl,16,2.7.3.1,14
1 Concorde Pl,16,6.5.1.5,14
1 Concorde Pl,16,6.5.3.4,14
1 Concorde Pl,16,9.6.4.2,14
400 Adelaide St E,13,2.8.1.2,9
400 Adelaide St E,13,2.8.2.1,9
50 Alexander St,13,1.1.1.2,22
50 Alexander St,13,2.2.2.1,22
50 Alexander St,13,2.2.3.2,22
50 Alexander St,13,2.8.2.1,22
50 Alexander St,13,2.8.3.4,22
50 Alexander St,13,6.2.7.2,22
50 Alexander St,13,6.5.1.2,22
50 Alexander St,13,6.7.1.1,22
50 Lombard St,13,1.1.1.2,14
50 Lombard St,13,1.1.2.1./6.2.7.5.,14
50 Lombard St,13,1.1.2.1./6.3.2.2.,14
50 Lombard St,13,2.2.2.1,14
50 Lombard St,13,2.2.3.2,14
50 Lombard St,13,2.4.1.1,14
50 Lombard St,13,2.8.3.4,14
50 Lombard St,13,6.2.4.1,14
50 Lombard St,13,6.2.4.3,14
50 Lombard St,13,6.5.1.5,14
437 Jarvis St,13,1.1.2.1./2.7.3.3.(3),27
437 Jarvis St,13,1.1.2.1./6.2.7.5.,27
437 Jarvis St,13,1.1.2.1./6.3.2.2.,27
437 Jarvis St,13,1.1.2.1./6.3.3.8.,27
437 Jarvis St,13,1.1.2.1./6.4.3.2.,27
437 Jarvis St,13,1.1.2.1./6.4.3.3.,27
437 Jarvis St,13,1.1.2.1./6.5.5.3.,27
437 Jarvis St,13,1.1.2.1./6.5.5.5.,27
437 Jarvis St,13,1.1.2.1./6.6.3.5.,27
437 Jarvis St,13,1.1.2.1./6.7.1.1.,27
437 Jarvis St,13,1.1.2.1./7.2.2.1.,27
437 Jarvis St,13,2.2.2.1,27
437 Jarvis St,13,2.2.3.1,27
437 Jarvis St,13,2.2.3.2,27
437 Jarvis St,13,2.4.1.1,27
437 Jarvis St,13,2.7.2.2,27
437 Jarvis St,13,2.7.3.2 (1),27
437 Jarvis St,13,9.6.2.5,27
437 Jarvis St,13,9.6.2.6,27
437 Jarvis St,13,9.6.3.6,27
38 Elm St,11,6.3.1.4,3
761 Bay St,11,6.3.1.4,12
195 Wynford Dr,16,1.1.2.1,15
195 Wynford Dr,16,2.2.2.1,15
195 Wynford Dr,16,2.2.3.2,15
195 Wynford Dr,16,2.4.1.1,15
195 Wynford Dr,16,2.7.1.7,15
195 Wynford Dr,16,2.8.3.4,15
195 Wynford Dr,16,6.3.1.2,15
195 Wynford Dr,16,6.3.1.4,15
